Collocation	Score (raw_freq)
('in', 'der')	0.009813350998214404
('die', 'der')	0.006836648683308174
('und', 'die')	0.005564862173587181
('die', 'die')	0.0050298201027195845
('der', 'die')	0.0050276969198986814
('die', 'in')	0.0047622990672857865
('die', 'und')	0.004639154463673404
('der', 'und')	0.00444169846132941
('in', 'den')	0.004346155234388768
('der', 'der')	0.004329169771821542
('die', 'von')	0.0042803365669407695
('für', 'die')	0.0041996556197464495
('der', 'in')	0.003808989980700268
('in', 'die')	0.0033461361257433792
('von', 'und')	0.003288810189578994
('und', 'in')	0.0028726663566819746
('von', 'der')	0.0025817903102182418
('und', 'der')	0.0025775439445764356
('bei', 'der')	0.0025478193850837915
('der', 'von')	0.0025032325458448253
('dass', 'die')	0.0025011093630239217
('die', 'zu')	0.0024480297925013428
('zu', 'und')	0.0024437834268595366
('die', 'sich')	0.0024183052330086986
('auf', 'die')	0.0024076893189041828
('auch', 'die')	0.0022569433386200586
('mit', 'der')	0.0022335883275901238
('in', 'und')	0.002225095596306511
('die', 'des')	0.0021868783055302545
('mit', 'dem')	0.002131675552186772
('die', 'im')	0.0020425018737088396
('zu', 'die')	0.002034009142425227
('die', 'für')	0.002010654131395292
('und', 'und')	0.0018981254418874245
('die', 'mit')	0.0018705240652156835
('der', 'zu')	0.001851415419827555
('der', 'im')	0.0018195676775140078
('für', 'und')	0.001811074946230395
('sich', 'die')	0.0017877199352004604
('und', 'das')	0.0017877199352004604
('an', 'die')	0.0017749808382750414
('und', 'zu')	0.001743133095961494
('mehr', 'als')	0.0017367635474987845
('den', 'und')	0.0016475898690208517
('der', 'des')	0.0016475898690208517
('in', 'einer')	0.0016475898690208517
('um', 'die')	0.001622111675170014
('den', 'der')	0.001609372578244595
('der', 'für')	0.0016030030297818855
('die', 'das')	0.001596633481319176
('in', 'einem')	0.0015902639328564665
('und', 'auch')	0.001515952534124856
('es', 'in')	0.0015138293513039527
('im', 'jahr')	0.00150533662002034
('der', 'das')	0.0014883511574531147
('und', 'sich')	0.0014756120605276958
('das', 'die')	0.0014458875010350516
('und', 'von')	0.0014458875010350516
('an', 'der')	0.0014416411353932452
('das', 'der')	0.0014310252212887296
('die', 'auf')	0.0014267788556469232
('das', 'in')	0.0014119165759006011
('von', 'die')	0.0014034238446169885
('den', 'die')	0.0013821920164079568
('auf', 'der')	0.0013736992851243442
('mit', 'und')	0.0013673297366616347
('der', 'sich')	0.0013630833710198283
('auch', 'in')	0.0013567138225571188
('aus', 'dem')	0.0013503442740944093
('vor', 'allem')	0.0013354819943480873
('aus', 'der')	0.0013269892630644747
('der', 'mit')	0.0013269892630644747
('über', 'die')	0.0013121269833181526
('mit', 'den')	0.0013078806176763462
('im', 'der')	0.0012590474127955737
('eine', 'die')	0.0012526778643328642
('der', 'es')	0.0012463083158701547
('nach', 'der')	0.0012463083158701547
('und', 'es')	0.0012420619502283483
('von', 'in')	0.001237815584586542
('dass', 'es')	0.0012080910250938978
('eine', 'der')	0.0012059678422729947
('mit', 'einem')	0.0012059678422729947
('und', 'mit')	0.0011953519281684788
('der', 'auf')	0.0011804896484221567
('im', 'die')	0.0011762432827803503
('und', 'im')	0.0011613810030340283
('die', 'auch')	0.0011550114545713188
('das', 'und')	0.0011507650889295124
('wie', 'die')	0.0011422723576458998
('es', 'die')	0.0011337796263622872
('und', 'für')	0.0011337796263622872
('durch', 'die')	0.0011274100778995778
('hat', 'die')	0.0011252868950786745
('gegen', 'die')	0.0011125477981532555
('zu', 'der')	0.001104055066869643
('für', 'den')	0.0010891927871233208
('gegen', 'und')	0.0010891927871233208
('die', 'dass')	0.0010807000558397083
('ein', 'der')	0.0010743305073769988
('eine', 'von')	0.0010722073245560955
('sich', 'in')	0.001065837776093386
('in', 'dem')	0.001053098679167967
('im', 'vergangenen')	0.0010488523135261608
('als', 'die')	0.001038236399421645
('auf', 'dem')	0.001038236399421645
('für', 'das')	0.001038236399421645
('auf', 'den')	0.0010276204853171293
('bei', 'den')	0.0010212509368544198
('die', 'bei')	0.0010063886571080975
('die', 'es')	0.0010042654742871944
('in', 'in')	0.001000019108645388
('und', 'eine')	0.0009957727430035819
('die', 'am')	0.0009745409147945502
('im', 'und')	0.0009702945491527439
('der', 'am')	0.0009618018178691312
('der', 'hat')	0.0009618018178691312
('zu', 'das')	0.0009618018178691312
('die', 'an')	0.0009511859037646155
('ein', 'und')	0.000944816355301906
('es', 'sich')	0.000944816355301906
('die', 'ein')	0.0009342004411973902
('eine', 'in')	0.0009342004411973902
('das', 'für')	0.0009278308927346807
('vergangenen', 'jahr')	0.0009257077099137775
('die', 'hat')	0.0009235845270928744
('in', 'diesem')	0.0009235845270928744
('und', 'den')	0.0009214613442719712
('die', 'eine')	0.000919338161451068
('der', 'auch')	0.0009108454301674554
('es', 'auch')	0.0009087222473465522
('zu', 'in')	0.0009087222473465522
('der', 'ein')	0.0009065990645256492
('den', 'zu')	0.0009023526988838428
('der', 'eine')	0.0009023526988838428
('der', 'an')	0.0008959831504211333
('an', 'den')	0.0008938599676002302
('die', 'den')	0.0008896136019584238
('das', 'von')	0.0008853672363166175
('des', 'die')	0.0008832440534957143
('die', 'aus')	0.0008726281393911985
('eine', 'und')	0.0008705049565702954
('während', 'der')	0.0008705049565702954
('dem', 'der')	0.0008683817737493922
('der', 'gegen')	0.000866258590928489
('es', 'zu')	0.0008535194940030701
('die', 'gegen')	0.000851396311182167
('des', 'und')	0.0008492731283612638
('ein', 'in')	0.0008471499455403607
('von', 'den')	0.0008471499455403607
('und', 'auf')	0.0008365340314358448
